Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),ShareVolume
03-07-19,1.7,1.7,1.7,1.7,206500
03-06-19,1.7,1.8,1.7,1.7,53405
03-05-19,1.7,1.8,1.7,1.7,121354
03-01-19,1.7,1.8,1.7,1.7,10510
2/28/19,1.7,1.8,1.7,1.7,265596
2/27/19,1.7,1.8,1.7,1.7,12360
2/26/19,1.8,1.8,1.7,1.8,901
2/25/19,1.8,1.8,1.7,1.8,74182
2/22/19,1.8,1.8,1.7,1.8,96551
2/21/19,1.8,1.8,1.7,1.8,141965
2/20/19,1.7,1.9,1.7,1.7,220620
2/18/19,1.9,1.9,1.7,1.9,353431
2/15/19,1.9,1.9,1.8,1.9,3550
2/13/19,1.9,1.9,1.9,1.9,34963
02-12-19,1.8,1.9,1.8,1.8,111457
02-11-19,1.8,1.9,1.8,1.8,5029
02-08-19,1.8,2,1.8,1.8,43773
02-07-19,1.9,2,1.8,1.9,169400
02-06-19,1.9,1.9,1.8,1.9,7400
02-05-19,1.8,1.9,1.8,1.8,111084
02-01-19,1.9,2,1.9,1.9,26723
1/31/19,1.9,2,1.9,1.9,30755
1/30/19,2,2,1.8,2,441847
1/29/19,1.9,1.9,1.7,1.9,97992626
1/28/19,1.8,1.8,1.7,1.8,105900
1/25/19,1.8,1.9,1.7,1.8,292375
1/24/19,1.7,1.9,1.7,1.7,311034
1/23/19,1.8,1.8,1.8,1.8,1000
1/22/19,1.8,1.8,1.7,1.8,115477
1/21/19,1.7,1.8,1.7,1.7,1089691
1/18/19,1.7,1.8,1.7,1.7,88560
1/17/19,1.7,1.8,1.7,1.7,228482
1/16/19,1.7,1.7,1.6,1.7,209692
1/14/19,1.7,1.8,1.7,1.7,111139
01-11-19,1.8,1.8,1.8,1.8,33710
01-10-19,1.8,1.8,1.7,1.8,64052
01-09-19,1.8,1.8,1.7,1.8,46245
01-08-19,1.8,1.9,1.8,1.8,472
01-07-19,1.8,1.9,1.8,1.8,30056
01-04-19,1.9,1.9,1.8,1.9,2800
01-03-19,1.8,1.9,1.8,1.8,215365
01-02-19,1.8,1.9,1.8,1.8,58294
12/31/18,1.9,1.9,1.8,1.9,12350
12/28/18,1.8,1.8,1.8,1.8,61616
12/27/18,1.9,1.9,1.9,1.9,130129
12/26/18,1.8,1.9,1.8,1.8,9813
12/24/18,1.8,1.9,1.8,1.8,6200
12/21/18,1.9,1.9,1.8,1.9,13296
12/20/18,1.8,1.9,1.8,1.8,105012
12/19/18,1.8,1.9,1.8,1.8,31063
12/18/18,1.8,1.9,1.8,1.8,68828
12/17/18,1.9,1.9,1.9,1.9,9995
12/14/18,1.9,2,1.8,1.9,104526
12/13/18,1.9,2,1.9,1.9,23710
12-12-18,1.9,2,1.9,1.9,109600
12-11-18,2,2,1.9,2,10206
12-10-18,1.9,2,1.9,1.9,355156
12-07-18,2,2,2,2,4820
12-06-18,2,2,1.9,2,137009
12-05-18,1.9,2.1,1.9,1.9,19026
12-04-18,1.9,2,1.9,1.9,1707
12-03-18,1.9,2,1.9,1.9,5014
11/30/18,2,2,2,2,27304
11/29/18,1.9,2,1.9,1.9,3502
11/28/18,1.9,2,1.9,1.9,19600
11/27/18,2,2,2,2,31001
11/26/18,1.9,2,1.9,1.9,41922
11/23/18,1.9,2,1.9,1.9,3250
11/21/18,1.9,1.9,1.9,1.9,267500
11/19/18,1.9,2,1.9,1.9,3001
11/16/18,2,2,2,2,200
11/15/18,2,2,1.9,2,20350
11/14/18,2,2,1.9,2,84550
11/13/18,2.1,2.1,2,2.1,210
11-12-18,2,2.1,2,2,271507
11-09-18,2.1,2.1,1.9,2.1,122761
11-08-18,2,2.1,1.9,2,1139925
11-07-18,2.1,2.1,2,2.1,159481
11-05-18,2.1,2.2,2,2.1,48500
11-02-18,2.1,2.3,2.1,2.1,318316
11-01-18,2.3,2.3,2.1,2.3,783131
10/31/18,2,2.1,2,2,60600
10/30/18,2.1,2.2,2,2.1,255242
10/29/18,2.1,2.2,2,2.1,668122
10/26/18,1.9,2,1.8,1.9,215149
10/25/18,1.8,1.9,1.8,1.8,25160
10/23/18,1.8,1.9,1.8,1.8,108194
10/22/18,1.8,1.8,1.8,1.8,10000
10/19/18,1.9,1.9,1.9,1.9,120
10/18/18,1.8,1.9,1.8,1.8,5095
10/17/18,1.8,1.9,1.8,1.8,6000
10/16/18,1.9,1.9,1.8,1.9,5509
10/15/18,1.8,1.9,1.8,1.8,57842
10-12-18,1.8,1.9,1.8,1.8,102000
10-11-18,1.9,2,1.9,1.9,221461
10-10-18,1.9,2,2,1.9,2
10-09-18,1.9,2,1.9,1.9,33640
10-08-18,1.9,2,1.9,1.9,51867
10-05-18,2,2,1.9,2,392944
10-04-18,1.9,1.9,1.8,1.9,106985
10-03-18,1.9,1.9,1.8,1.9,44902
10-02-18,1.8,1.9,1.8,1.8,105056
10-01-18,1.8,2,1.8,1.8,33053
9/28/18,1.8,2,1.8,1.9,16726
9/27/18,2,2,1.9,1.9,58960
9/26/18,1.9,2,1.9,1.9,160913
9/25/18,1.9,2,1.9,1.9,517902
9/21/18,2,2,1.9,2,303073
9/20/18,2,2.1,2,2,11104
9/19/18,1.9,2.1,1.9,2,176739
9/18/18,2.1,2.1,2,2,149878
9/17/18,2,2.2,2,2,160131
9/14/18,2,2,2,2,16500
9/13/18,2,2,2,2,1000
09-12-18,2.1,2.2,2,2,213478
09-11-18,2.1,2.1,2,2.1,89001
09-10-18,2.1,2.1,2,2.1,59835
09-07-18,2.2,2.2,2,2.1,59695
09-06-18,2.2,2.3,2.1,2.1,748710
09-05-18,2.2,2.2,2.1,2.2,93967
09-04-18,2.2,2.2,2.1,2.1,128253
09-03-18,2.3,2.3,2.2,2.2,260250
8/31/18,2.2,2.3,2.2,2.2,702635
8/30/18,2,2.2,2,2.2,191670
8/29/18,2,2,1.9,1.9,11290
8/28/18,1.9,2,1.9,1.9,3600
8/27/18,2,2,1.9,2,100300
8/24/18,1.9,1.9,1.8,1.9,11920
8/23/18,1.8,2,1.8,1.9,336843
8/21/18,1.8,1.9,1.8,1.8,14150
8/20/18,1.9,1.9,1.8,1.8,482218
8/17/18,1.9,2,1.9,2,385500
8/16/18,1.9,2,1.9,1.9,92920
8/15/18,2,2,1.9,1.9,119210
8/14/18,2.1,2.1,2.1,2.1,559804
8/13/18,2.2,2.2,2.1,2.1,100253
08-10-18,2.2,2.2,2.1,2.1,100987
08-09-18,2.1,2.1,2.1,2.1,6360
08-08-18,2.1,2.1,2.1,2.1,25210
08-07-18,2.2,2.2,2.1,2.1,134430
08-06-18,2.2,2.2,2.1,2.1,8312
08-03-18,2.1,2.2,2.1,2.2,4513
08-02-18,2.1,2.2,2.1,2.1,139937
08-01-18,2.2,2.3,2.1,2.1,548534
7/31/18,2.1,2.2,2.1,2.1,157478
7/30/18,2.2,2.2,2.1,2.1,53873
7/26/18,2.2,2.3,2.1,2.1,104110
7/25/18,2.1,2.3,2.1,2.1,246049
7/24/18,2.2,2.3,2.1,2.2,393972
7/23/18,2.3,2.3,2.2,2.3,424440
7/20/18,2.4,2.4,2.3,2.3,418801
7/19/18,2.4,2.4,2.3,2.3,294094
7/18/18,2.5,2.5,2.3,2.4,63088
7/17/18,2.5,2.5,2.4,2.4,107405
7/16/18,2.6,2.6,2.4,2.4,371156
7/13/18,2.4,2.8,2.4,2.5,4077142
07-12-18,2.4,2.5,2.3,2.3,309641
07-11-18,2.4,2.5,2.3,2.4,142901
07-10-18,2.5,2.5,2.3,2.4,347607
07-09-18,2.5,2.5,2.4,2.4,35814
07-06-18,2.6,2.6,2.5,2.5,50401
07-05-18,2.4,2.6,2.4,2.5,558152
07-04-18,2.4,2.4,2.3,2.4,96391
07-03-18,2.4,2.4,2.4,2.4,138280
07-02-18,2.5,2.5,2.4,2.4,105478
6/29/18,2.4,2.4,2.4,2.4,115686
6/28/18,2.5,2.5,2.4,2.4,148322
6/26/18,2.5,2.5,2.5,2.5,6400
6/25/18,2.5,2.5,2.4,2.4,4700
6/22/18,2.4,2.6,2.4,2.5,31019
6/21/18,2.5,2.5,2.4,2.4,230035
6/20/18,2.5,2.5,2.5,2.5,33265
6/19/18,2.6,2.7,2.5,2.6,443005
6/18/18,2.6,2.6,2.5,2.5,231000
6/14/18,2.6,2.6,2.5,2.5,75466
6/13/18,2.5,2.6,2.5,2.6,1450
06-12-18,2.6,2.6,2.5,2.5,27611
06-11-18,2.5,2.6,2.5,2.5,64516
06-08-18,2.5,2.6,2.4,2.5,340808
06-07-18,2.6,2.7,2.5,2.5,1674660
06-06-18,2.7,2.7,2.6,2.6,209145
06-05-18,2.7,2.7,2.6,2.6,141850
06-04-18,2.7,2.7,2.7,2.7,18850
06-01-18,2.8,2.8,2.7,2.7,49510
5/31/18,2.7,2.7,2.7,2.7,31463
5/30/18,2.8,2.8,2.7,2.7,605000
5/28/18,2.9,2.9,2.8,2.8,778962
5/25/18,2.9,2.9,2.8,2.9,63141
5/24/18,3,3,2.8,2.8,1379719
5/23/18,3,3.1,3,3,3063685
5/22/18,3,3,2.9,2.9,125650
5/21/18,3,3.1,2.9,2.9,689912
5/18/18,3,3,3,3,387550
5/17/18,3.1,3.1,3,3.1,217335
5/16/18,3,3.1,3,3.1,269552
5/15/18,3,3.1,2.9,3,370945
5/14/18,3.2,3.2,3,3,3770074
05-11-18,3.3,3.3,3.1,3.1,1792085
05-10-18,3.1,3.4,3.1,3.2,19745695
05-09-18,2.9,3.1,2.9,3.1,2845832
05-08-18,2.9,2.9,2.9,2.9,231500
05-04-18,3,3,2.9,3,746860
05-03-18,3,3.1,3,3,182028
05-02-18,3,3.1,3,3,1975167
05-01-18,3,3,3,3,158016
4/27/18,3,3.1,3,3,7250850
4/26/18,3,3,2.9,3,4053540
4/25/18,2.8,3,2.8,2.9,2746741
4/24/18,2.9,2.9,2.8,2.9,2766130
4/23/18,2.8,2.9,2.8,2.8,176238
