Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),ShareVolume
9/17/19,3.6,3.7,3.6,3.7,24555
9/16/19,3.7,3.7,3.7,3.7,243611
09-12-19,3.6,3.8,3.6,3.7,228313
09-11-19,3.6,3.7,3.6,3.7,30599
09-10-19,3.6,3.7,3.6,3.6,158901
09-09-19,3.6,3.7,3.6,3.6,260386
09-06-19,3.7,3.8,3.6,3.6,296850
09-05-19,3.7,3.7,3.6,3.6,248514
09-04-19,3.9,3.9,3.7,3.7,98499
09-03-19,3.8,3.9,3.7,3.7,154488
09-02-19,3.7,3.9,3.7,3.7,479896
8/30/19,3.8,3.8,3.7,3.7,420475
8/29/19,3.8,3.8,3.7,3.8,167243
8/28/19,3.7,3.8,3.7,3.8,3233
8/27/19,3.8,3.8,3.7,3.8,15649
8/26/19,3.8,3.8,3.7,3.8,20494
8/23/19,3.9,3.9,3.8,3.8,55661
8/22/19,3.8,3.9,3.7,3.8,116310
8/21/19,3.8,3.9,3.8,3.9,273838
8/20/19,3.9,3.9,3.7,3.9,10502
8/19/19,3.8,3.9,3.8,3.9,114354
8/16/19,3.8,3.9,3.8,3.9,53392
8/15/19,3.8,3.9,3.8,3.8,280074
8/13/19,4,4,3.8,3.8,1397270
08-09-19,3.8,4,3.7,3.9,1340151
08-08-19,3.9,4,3.8,3.9,71208
08-07-19,3.9,4,3.8,3.9,270561
08-06-19,4,4,3.9,3.9,297884
08-05-19,4,4.1,4,4,2227466
08-02-19,3.9,4.1,3.7,3.9,3521588
08-01-19,3.8,3.9,3.7,3.8,1875545
7/31/19,3.7,3.9,3.7,3.7,236758
7/30/19,3.9,3.9,3.7,3.8,181299
7/29/19,3.8,3.9,3.7,3.8,1110565
7/26/19,3.8,3.8,3.7,3.7,408403
7/25/19,3.9,3.9,3.8,3.8,122007
7/24/19,3.9,3.9,3.8,3.8,279807
7/23/19,3.8,3.9,3.7,3.9,26203
7/22/19,3.9,3.9,3.8,3.8,39121
7/19/19,3.8,3.9,3.7,3.8,447526
7/18/19,3.9,4,3.7,3.8,2988476
7/17/19,3.7,3.9,3.7,3.8,546485
7/15/19,3.8,3.9,3.4,3.9,2619688918
07-12-19,3.8,3.9,3.8,3.8,178171
07-11-19,3.8,3.9,3.8,3.8,301209
07-10-19,3.9,3.9,3.7,3.9,1005505
07-09-19,3.9,3.9,3.7,3.8,661542
07-08-19,3.8,3.8,3.8,3.8,726121
07-05-19,3.8,3.9,3.8,3.9,153932
07-04-19,3.9,4,3.7,3.8,1177457
07-03-19,3.7,3.9,3.7,3.8,170341
07-02-19,3.8,3.9,3.7,3.8,80016
07-01-19,3.8,3.8,3.7,3.7,426581
6/28/19,3.9,3.9,3.7,3.8,479622
6/27/19,3.8,3.9,3.8,3.8,181186
6/26/19,3.8,3.9,3.7,3.8,113204
6/25/19,4,4,3.8,3.8,45060
6/24/19,3.8,4,3.8,3.9,165105
6/21/19,4,4.1,3.8,3.8,852400
6/20/19,3.8,4.1,3.8,4,2785686
6/19/19,3.7,3.9,3.6,3.7,66711
6/18/19,3.7,3.7,3.6,3.7,41468
6/17/19,3.6,3.9,3.6,3.7,1142710
6/14/19,3.6,3.7,3.5,3.6,812890
6/13/19,3.6,3.6,3.5,3.5,87664
06-12-19,3.4,3.6,3.4,3.5,264185
06-11-19,3.4,3.4,3.4,3.4,3020
06-10-19,3.4,3.4,3.4,3.4,13777
06-07-19,3.3,3.4,3.3,3.4,1324
06-06-19,3.4,3.4,3.4,3.4,1450
06-04-19,3.5,3.5,3.3,3.3,189876
06-03-19,3.6,3.6,3.3,3.3,238837
5/31/19,3.5,3.5,3.4,3.4,100673
5/30/19,3.4,3.5,3.4,3.4,69952
5/29/19,3.2,3.6,3.2,3.4,371905
5/28/19,3.3,3.3,3.2,3.3,43071
5/27/19,3.3,3.3,3.2,3.2,88619
5/24/19,3.4,3.4,3.3,3.3,1600
5/23/19,3.5,3.5,3.3,3.3,131505
5/22/19,3.5,3.6,3.2,3.2,1272222
5/21/19,3.6,3.7,3.4,3.5,274640
5/17/19,2.9,3.7,2.9,3.6,2363344
5/16/19,2.9,2.9,2.8,2.8,369244
5/15/19,3,3,2.8,2.8,722650
5/14/19,2.9,3,2.9,3,216800
5/13/19,3.1,3.1,3,3,10010
05-10-19,3,3.1,2.9,3,10033
05-09-19,3,3,2.9,3,603385
05-07-19,3.1,3.1,3,3.1,19925
05-06-19,3.1,3.2,3,3,222743
05-03-19,3.2,3.2,3.1,3.1,25312
05-02-19,3.2,3.2,3.2,3.2,600
4/30/19,3.2,3.3,3.1,3.3,35897
4/29/19,3.2,3.2,3.1,3.2,1828
4/26/19,3.1,3.2,3,3.2,41072
4/25/19,3.2,3.2,3.1,3.1,295019
4/24/19,3.4,3.4,3.2,3.2,378521
4/23/19,3.3,3.3,3.1,3.3,77423
4/18/19,3.5,3.5,3.3,3.3,47650
4/17/19,3.6,3.6,3.4,3.4,153920
4/16/19,3.5,3.6,3.4,3.5,27270
04-12-19,3.6,3.6,3.6,3.6,1108
04-11-19,3.5,3.7,3.5,3.6,150543
04-10-19,3.3,3.6,3.3,3.4,1061521
04-09-19,3.3,3.3,3.2,3.3,23409
04-08-19,3.3,3.4,3.3,3.4,34700
04-05-19,3.3,3.4,3.2,3.3,59970
04-04-19,3.3,3.3,3.2,3.3,18707
04-03-19,3.3,3.3,3.2,3.2,13101
04-02-19,3.2,3.3,3.2,3.2,21630
04-01-19,3.1,3.3,3,3.1,48463
3/29/19,3.3,3.3,3,3.1,122747
3/28/19,3.1,3.2,3.1,3.2,48932
3/27/19,3,3.1,3,3.1,53002
3/26/19,3,3.1,3,3,103390
3/25/19,3.1,3.2,3.1,3.2,133852
3/22/19,3.2,3.2,3,3.1,296090
3/21/19,3.3,3.3,3.2,3.2,87498
3/19/19,3.3,3.3,3.3,3.3,7450
3/18/19,3.3,3.4,3.3,3.3,26937
3/15/19,3.4,3.4,3.2,3.4,170711
3/14/19,3.4,3.4,3.3,3.4,18970
3/13/19,3.3,3.3,3.3,3.3,1067
03-12-19,3.3,3.4,3.3,3.3,42548
03-11-19,3.4,3.4,3.3,3.4,17547
03-08-19,3.4,3.5,3.4,3.4,187
03-07-19,3.3,3.5,3.3,3.3,76750
03-06-19,3.5,3.6,3.4,3.5,12005
03-05-19,3.5,3.6,3.5,3.5,17705
03-01-19,3.4,3.5,3.4,3.4,470001
2/28/19,3.5,3.6,3.5,3.5,82247
2/27/19,3.6,3.6,3.5,3.6,29400
2/26/19,3.5,3.6,3.5,3.5,41431
2/25/19,3.6,3.6,3.5,3.6,25045
2/22/19,3.6,3.6,3.5,3.6,68101
2/21/19,3.5,3.7,3.5,3.5,36501
2/20/19,3.7,3.7,3.6,3.7,24643
2/18/19,3.6,3.8,3.6,3.6,293620
2/15/19,3.6,3.7,3.6,3.6,895
2/14/19,3.7,3.7,3.7,3.7,126364
2/13/19,3.7,3.8,3.7,3.7,10540
02-12-19,3.7,3.7,3.7,3.7,152931
02-11-19,3.7,3.8,3.7,3.7,422391
02-08-19,3.7,3.7,3.5,3.7,167235
02-07-19,3.6,3.7,3.6,3.6,16150
02-06-19,3.7,4.1,3.4,3.7,1319249
02-05-19,3.5,3.6,3.5,3.5,24001
1/31/19,3.6,3.7,3.6,3.6,10780
1/30/19,3.7,3.7,3.6,3.7,12559
1/28/19,3.6,3.7,3.6,3.6,7700
1/25/19,3.6,3.7,3.6,3.6,2505
1/24/19,3.7,3.7,3.5,3.7,44522
1/23/19,3.6,3.7,3.6,3.6,1002
1/22/19,3.6,3.7,3.6,3.6,1581
1/21/19,3.6,3.7,3.6,3.6,5301
1/18/19,3.6,3.7,3.7,3.6,36
1/17/19,3.6,3.7,3.6,3.6,23791
1/16/19,3.6,3.7,3.6,3.6,9392
1/14/19,3.6,3.6,3.5,3.6,71783
01-11-19,3.6,3.6,3.5,3.6,10000
01-10-19,3.6,3.6,3.6,3.6,23035
01-09-19,3.5,3.5,3.5,3.5,29450
01-08-19,3.5,3.6,3.5,3.5,2685
